Element,Data type,MinLength,MaxLength,Description,Example,Example in JSON,,,,Create file,Add description,Add specifications,Add example,Closing tag
AllowDuplicate,Boolean,1,1,"An indicator that allows or rejects duplicate transactions, which have the same amount and credit card number.

The value of false (0) indicates that the system rejects duplicate transactions.
The value of true (1) indicates that the system accepts duplicate transactions.",<AllowDuplicate>true</AllowDuplicate>,"{
  ""AllowDuplicate"": true
}",,,,"New-Item -Path . -Name ""AllowDuplicate.md"" -ItemType ""file"" -Value ""# AllowDuplicate"";Add-Content -Path "".\AllowDuplicate.md"" -Value ""`n""","Add-Content -Path "".\AllowDuplicate.md"" @""
An indicator that allows or rejects duplicate transactions, which have the same amount and credit card number.

The value of false (0) indicates that the system rejects duplicate transactions.
The value of true (1) indicates that the system accepts duplicate transactions.
""@","Add-Content -Path "".\AllowDuplicate.md"" -Value ""`n"";Add-Content -Path "".\AllowDuplicate.md"" -Value ""## Specifications"";Add-Content -Path "".\AllowDuplicate.md"" -Value ""`n"";Add-Content -Path "".\AllowDuplicate.md"" -Value ""* Data type: Boolean"";Add-Content -Path "".\AllowDuplicate.md"" -Value ""* Minimal length: 1"";Add-Content -Path "".\AllowDuplicate.md"" -Value ""* Maximal length: 1"";Add-Content -Path "".\AllowDuplicate.md"" -Value ""`n"";Add-Content -Path "".\AllowDuplicate.md"" -Value ""## Example"";Add-Content -Path "".\AllowDuplicate.md"" -Value ""`n"";Add-Content -Path "".\AllowDuplicate.md"" -Value ""`````` json""","Add-Content -Path "".\AllowDuplicate.md"" @""
{
  ""AllowDuplicate"": true
}
""@","Add-Content -Path "".\AllowDuplicate.md"" -Value ""``````"""
Amount,Currency,3,12,The amount of the transaction. This amount is in the currency that you specify in the CurrencyCode element. You must use a decimal point to separate the integer part from the fractional part of a number. The minimum amount is 0.00.,<Amount>45.62</Amount>,"{
  ""Amount"": 45.62
}",,,,"New-Item -Path . -Name ""Amount.md"" -ItemType ""file"" -Value ""# Amount"";Add-Content -Path "".\Amount.md"" -Value ""`n""","Add-Content -Path "".\Amount.md"" @""
The amount of the transaction. This amount is in the currency that you specify in the CurrencyCode element. You must use a decimal point to separate the integer part from the fractional part of a number. The minimum amount is 0.00.
""@","Add-Content -Path "".\Amount.md"" -Value ""`n"";Add-Content -Path "".\Amount.md"" -Value ""## Specifications"";Add-Content -Path "".\Amount.md"" -Value ""`n"";Add-Content -Path "".\Amount.md"" -Value ""* Data type: Currency"";Add-Content -Path "".\Amount.md"" -Value ""* Minimal length: 3"";Add-Content -Path "".\Amount.md"" -Value ""* Maximal length: 12"";Add-Content -Path "".\Amount.md"" -Value ""`n"";Add-Content -Path "".\Amount.md"" -Value ""## Example"";Add-Content -Path "".\Amount.md"" -Value ""`n"";Add-Content -Path "".\Amount.md"" -Value ""`````` json""","Add-Content -Path "".\Amount.md"" @""
{
  ""Amount"": 45.62
}
""@","Add-Content -Path "".\Amount.md"" -Value ""``````"""
Any,Array of elements,N/A,N/A,,,,,,,"New-Item -Path . -Name ""Any.md"" -ItemType ""file"" -Value ""# Any"";Add-Content -Path "".\Any.md"" -Value ""`n""","Add-Content -Path "".\Any.md"" @""

""@","Add-Content -Path "".\Any.md"" -Value ""`n"";Add-Content -Path "".\Any.md"" -Value ""## Specifications"";Add-Content -Path "".\Any.md"" -Value ""`n"";Add-Content -Path "".\Any.md"" -Value ""* Data type: Array of elements"";Add-Content -Path "".\Any.md"" -Value ""`n"";Add-Content -Path "".\Any.md"" -Value ""## Example"";Add-Content -Path "".\Any.md"" -Value ""`n"";Add-Content -Path "".\Any.md"" -Value ""`````` json""","Add-Content -Path "".\Any.md"" @""

""@","Add-Content -Path "".\Any.md"" -Value ""``````"""
Api,Alphanumeric,1,30,The name and version of the API that sent this message.,<Api>1.0</Api>,"{
  ""Api"": 1
}",,,,"New-Item -Path . -Name ""Api.md"" -ItemType ""file"" -Value ""# Api"";Add-Content -Path "".\Api.md"" -Value ""`n""","Add-Content -Path "".\Api.md"" @""
The name and version of the API that sent this message.
""@","Add-Content -Path "".\Api.md"" -Value ""`n"";Add-Content -Path "".\Api.md"" -Value ""## Specifications"";Add-Content -Path "".\Api.md"" -Value ""`n"";Add-Content -Path "".\Api.md"" -Value ""* Data type: Alphanumeric"";Add-Content -Path "".\Api.md"" -Value ""* Minimal length: 1"";Add-Content -Path "".\Api.md"" -Value ""* Maximal length: 30"";Add-Content -Path "".\Api.md"" -Value ""`n"";Add-Content -Path "".\Api.md"" -Value ""## Example"";Add-Content -Path "".\Api.md"" -Value ""`n"";Add-Content -Path "".\Api.md"" -Value ""`````` json""","Add-Content -Path "".\Api.md"" @""
{
  ""Api"": 1
}
""@","Add-Content -Path "".\Api.md"" -Value ""``````"""
ApprovalCode,Alphanumeric,6,6,The approval code that the Transaction Services system returns.,<ApprovalCode>ABC123</ApprovalCode>,"{
  ""ApprovalCode"": ""ABC123""
}",,,,"New-Item -Path . -Name ""ApprovalCode.md"" -ItemType ""file"" -Value ""# ApprovalCode"";Add-Content -Path "".\ApprovalCode.md"" -Value ""`n""","Add-Content -Path "".\ApprovalCode.md"" @""
The approval code that the Transaction Services system returns.
""@","Add-Content -Path "".\ApprovalCode.md"" -Value ""`n"";Add-Content -Path "".\ApprovalCode.md"" -Value ""## Specifications"";Add-Content -Path "".\ApprovalCode.md"" -Value ""`n"";Add-Content -Path "".\ApprovalCode.md"" -Value ""* Data type: Alphanumeric"";Add-Content -Path "".\ApprovalCode.md"" -Value ""* Minimal length: 6"";Add-Content -Path "".\ApprovalCode.md"" -Value ""* Maximal length: 6"";Add-Content -Path "".\ApprovalCode.md"" -Value ""`n"";Add-Content -Path "".\ApprovalCode.md"" -Value ""## Example"";Add-Content -Path "".\ApprovalCode.md"" -Value ""`n"";Add-Content -Path "".\ApprovalCode.md"" -Value ""`````` json""","Add-Content -Path "".\ApprovalCode.md"" @""
{
  ""ApprovalCode"": ""ABC123""
}
""@","Add-Content -Path "".\ApprovalCode.md"" -Value ""``````"""
Authentication,Array of elements,N/A,N/A,Contains all the sub-elements that the system uses to authenticate a message before processing.,,"""Authentication"": {
    ""Client"": 0,
    ""Source"": ""string"",
    ""Token"": ""string""
  }",,,,"New-Item -Path . -Name ""Authentication.md"" -ItemType ""file"" -Value ""# Authentication"";Add-Content -Path "".\Authentication.md"" -Value ""`n""","Add-Content -Path "".\Authentication.md"" @""
Contains all the sub-elements that the system uses to authenticate a message before processing.
""@","Add-Content -Path "".\Authentication.md"" -Value ""`n"";Add-Content -Path "".\Authentication.md"" -Value ""## Specifications"";Add-Content -Path "".\Authentication.md"" -Value ""`n"";Add-Content -Path "".\Authentication.md"" -Value ""* Data type: Array of elements"";Add-Content -Path "".\Authentication.md"" -Value ""`n"";Add-Content -Path "".\Authentication.md"" -Value ""## Example"";Add-Content -Path "".\Authentication.md"" -Value ""`n"";Add-Content -Path "".\Authentication.md"" -Value ""`````` json""","Add-Content -Path "".\Authentication.md"" @""
""Authentication"": {
    ""Client"": 0,
    ""Source"": ""string"",
    ""Token"": ""string""
  }
""@","Add-Content -Path "".\Authentication.md"" -Value ""``````"""
AuthHost,Alpha,1,5,"The host system that authorizes this transaction.

Possible values are Local and Tsys.

The value of Local indicates that the local system authorizes the transaction.
The value of Tsys indicates that the Transaction Services system authorizes the transaction.",<AuthHost>Tsys</AuthHost>,"{
  ""AuthHost"": ""Tsys""
}",,,,"New-Item -Path . -Name ""AuthHost.md"" -ItemType ""file"" -Value ""# AuthHost"";Add-Content -Path "".\AuthHost.md"" -Value ""`n""","Add-Content -Path "".\AuthHost.md"" @""
The host system that authorizes this transaction.

Possible values are Local and Tsys.

The value of Local indicates that the local system authorizes the transaction.
The value of Tsys indicates that the Transaction Services system authorizes the transaction.
""@","Add-Content -Path "".\AuthHost.md"" -Value ""`n"";Add-Content -Path "".\AuthHost.md"" -Value ""## Specifications"";Add-Content -Path "".\AuthHost.md"" -Value ""`n"";Add-Content -Path "".\AuthHost.md"" -Value ""* Data type: Alpha"";Add-Content -Path "".\AuthHost.md"" -Value ""* Minimal length: 1"";Add-Content -Path "".\AuthHost.md"" -Value ""* Maximal length: 5"";Add-Content -Path "".\AuthHost.md"" -Value ""`n"";Add-Content -Path "".\AuthHost.md"" -Value ""## Example"";Add-Content -Path "".\AuthHost.md"" -Value ""`n"";Add-Content -Path "".\AuthHost.md"" -Value ""`````` json""","Add-Content -Path "".\AuthHost.md"" @""
{
  ""AuthHost"": ""Tsys""
}
""@","Add-Content -Path "".\AuthHost.md"" -Value ""``````"""
AverageTicket,Currency,3,12,The average order value for a batch of transactions. The Transaction Services system calculates this value automatically for each batch of transactions.,<AverageTicket>75.00</AverageTicket>,"{
  ""AverageTicket"": 75
}",,,,"New-Item -Path . -Name ""AverageTicket.md"" -ItemType ""file"" -Value ""# AverageTicket"";Add-Content -Path "".\AverageTicket.md"" -Value ""`n""","Add-Content -Path "".\AverageTicket.md"" @""
The average order value for a batch of transactions. The Transaction Services system calculates this value automatically for each batch of transactions.
""@","Add-Content -Path "".\AverageTicket.md"" -Value ""`n"";Add-Content -Path "".\AverageTicket.md"" -Value ""## Specifications"";Add-Content -Path "".\AverageTicket.md"" -Value ""`n"";Add-Content -Path "".\AverageTicket.md"" -Value ""* Data type: Currency"";Add-Content -Path "".\AverageTicket.md"" -Value ""* Minimal length: 3"";Add-Content -Path "".\AverageTicket.md"" -Value ""* Maximal length: 12"";Add-Content -Path "".\AverageTicket.md"" -Value ""`n"";Add-Content -Path "".\AverageTicket.md"" -Value ""## Example"";Add-Content -Path "".\AverageTicket.md"" -Value ""`n"";Add-Content -Path "".\AverageTicket.md"" -Value ""`````` json""","Add-Content -Path "".\AverageTicket.md"" @""
{
  ""AverageTicket"": 75
}
""@","Add-Content -Path "".\AverageTicket.md"" -Value ""``````"""
AvsResult,Alphanumeric,1,1,"The result of the address verification check. The Transaction Services system uses Visa codes and maps them accordingly where needed. For a full list of address verification response codes, see [ResponceCode](/API/Transaction response codes/ResponseCode/).",<AvsResult>A</AvsResult>,"{
  ""AvsResult"": ""A""
}",,,,"New-Item -Path . -Name ""AvsResult.md"" -ItemType ""file"" -Value ""# AvsResult"";Add-Content -Path "".\AvsResult.md"" -Value ""`n""","Add-Content -Path "".\AvsResult.md"" @""
The result of the address verification check. The Transaction Services system uses Visa codes and maps them accordingly where needed. For a full list of address verification response codes, see [ResponceCode](/API/Transaction response codes/ResponseCode/).
""@","Add-Content -Path "".\AvsResult.md"" -Value ""`n"";Add-Content -Path "".\AvsResult.md"" -Value ""## Specifications"";Add-Content -Path "".\AvsResult.md"" -Value ""`n"";Add-Content -Path "".\AvsResult.md"" -Value ""* Data type: Alphanumeric"";Add-Content -Path "".\AvsResult.md"" -Value ""* Minimal length: 1"";Add-Content -Path "".\AvsResult.md"" -Value ""* Maximal length: 1"";Add-Content -Path "".\AvsResult.md"" -Value ""`n"";Add-Content -Path "".\AvsResult.md"" -Value ""## Example"";Add-Content -Path "".\AvsResult.md"" -Value ""`n"";Add-Content -Path "".\AvsResult.md"" -Value ""`````` json""","Add-Content -Path "".\AvsResult.md"" @""
{
  ""AvsResult"": ""A""
}
""@","Add-Content -Path "".\AvsResult.md"" -Value ""``````"""
BankLookup,Numeric,1,1,Indicates whether to send the bank lookup request.,,"{
  ""BankLookup"": ""1""
}",,,,"New-Item -Path . -Name ""BankLookup.md"" -ItemType ""file"" -Value ""# BankLookup"";Add-Content -Path "".\BankLookup.md"" -Value ""`n""","Add-Content -Path "".\BankLookup.md"" @""
Indicates whether to send the bank lookup request.
""@","Add-Content -Path "".\BankLookup.md"" -Value ""`n"";Add-Content -Path "".\BankLookup.md"" -Value ""## Specifications"";Add-Content -Path "".\BankLookup.md"" -Value ""`n"";Add-Content -Path "".\BankLookup.md"" -Value ""* Data type: Numeric"";Add-Content -Path "".\BankLookup.md"" -Value ""* Minimal length: 1"";Add-Content -Path "".\BankLookup.md"" -Value ""* Maximal length: 1"";Add-Content -Path "".\BankLookup.md"" -Value ""`n"";Add-Content -Path "".\BankLookup.md"" -Value ""## Example"";Add-Content -Path "".\BankLookup.md"" -Value ""`n"";Add-Content -Path "".\BankLookup.md"" -Value ""`````` json""","Add-Content -Path "".\BankLookup.md"" @""
{
  ""BankLookup"": ""1""
}
""@","Add-Content -Path "".\BankLookup.md"" -Value ""``````"""
Batch,Array of elements,N/A,N/A,Contains all the sub-elements with information about a batch of transactions.,,"""Batch"": {
      ""BatchName"": ""string""
    }",,,,"New-Item -Path . -Name ""Batch.md"" -ItemType ""file"" -Value ""# Batch"";Add-Content -Path "".\Batch.md"" -Value ""`n""","Add-Content -Path "".\Batch.md"" @""
Contains all the sub-elements with information about a batch of transactions.
""@","Add-Content -Path "".\Batch.md"" -Value ""`n"";Add-Content -Path "".\Batch.md"" -Value ""## Specifications"";Add-Content -Path "".\Batch.md"" -Value ""`n"";Add-Content -Path "".\Batch.md"" -Value ""* Data type: Array of elements"";Add-Content -Path "".\Batch.md"" -Value ""`n"";Add-Content -Path "".\Batch.md"" -Value ""## Example"";Add-Content -Path "".\Batch.md"" -Value ""`n"";Add-Content -Path "".\Batch.md"" -Value ""`````` json""","Add-Content -Path "".\Batch.md"" @""
""Batch"": {
      ""BatchName"": ""string""
    }
""@","Add-Content -Path "".\Batch.md"" -Value ""``````"""
